ign,ACS,K,D,A,HS%,Ace
megobrrr#nobfk,152,8,14,1,0.19,0
DFF#glhf,130,6,15,5,0.08,0
CSENS,ACS,K,D,A,HS%,Ace
SENS BigBOOM#0019,403,25,9,4,0.12,0
tarzan#sens,263,16,9,7,0.11,0
ESD#A31,233,13,11,4,0.16,0
SENS Panda#aziz,155,10,9,11,0.14,0
Ξηvγ#abid,142,10,7,4,0.19,0
,1196,,,,,
,,,,,,
G36,1247,,,,,
CSENS,ACS,K,D,A,HS%,Ace
tarzan#sens,320,18,10,5,0.13,0
ESD#A31,297,18,12,6,0.21,0
SENS BigBOOM#0019,276,15,8,7,0.17,0
SENS Panda#aziz,192,13,9,4,0.19,0
Muhai10#42010,162,9,4,2,0.08,0
One Night Radiant,ACS,K,D,A,HS%,Ace
Tekashaki69#9091,303,15,14,4,0.06,0
Sinclair#1790,193,9,15,4,0.08,0
RatRex#9988,142,7,15,5,0.08,0
Tekx86#2255,141,6,16,3,0.05,0
tronics#5530,118,6,13,1,0.05,0
,897,,,,,
,,,,,,
G34,1289,,,,,
CSENS,ACS,K,D,A,HS%,Ace
SENS Panda#aziz,459,24,7,3,0.2,0
Muhai10#42010,242,13,6,4,0.28,0
ESD#A31,213,11,6,3,0.29,0
Ξηvγ#abid,194,10,4,4,0.24,0
SENS BigBOOM#0019,181,11,2,5,0.35,0
Noob Rangers,ACS,K,D,A,HS%,Ace
Luniam#Hexa,287,12,13,0,0.16,0
Ling Ying Wei#1327,137,6,15,1,0.14,0
Xarvey#6794,94,3,14,1,0,0
GOKBORU#5094,69,2,14,2,0.09,0
misfit#fn26,53,2,13,0,0.18,0
,640,,,,,
G4,,,,,,
Chakri Lagbe,ACS,K,D,A,HS%,
AceX#bojji,481,42,14,4,0.20,0
ch1orine#Ctrl,221,19,18,6,0.20,0
RaKuSh0na#AHAH,174,13,23,18,0.17,0
YaBoiJawed#3898,200,17,17,9,0.26,0
Mad Noobs,ACS,K,D,A,HS%,
Daichi#1998,213,20,19,8,0.20,0
Doctorcool59#M007,133,11,19,4,0.23,0
Limbo X016#2338,152,13,18,9,0.10,0
NEWT#5965,141,12,18,11,0.26,0
pinocchio#06014,164,16,17,5,0.20,0
,,,,,,
,,,,,,
PQ1,,,,,,
Chakri Lagbe,ACS,K,D,A,HS%,
AceX#bojji,276,15,6,9,0.17,0
ch1orine#Ctrl,255,15,3,5,0.09,0
RaKuSh0na#AHAH,262,16,7,3,0.39,0
SheikhMujib#1975,181,11,6,8,0.21,0
YaBoiJawed#3898,168,10,4,4,0.15,0
Chill Bro,ACS,K,D,A,HS%,
Blackdoom#5531,79,4,13,0,0.04,0
ChillBr0#4804,183,6,13,3,0.13,0
MrSkylight#9790,115,5,14,1,0.17,0
Red1Ralph#7066,136,7,13,1,0.09,0
skywalker07#5215,114,4,14,5,0.03,0
,,,,,,
,,,,,,
PQ2,,,,,,
No,ACS,K,D,A,HS%,
CANTSHOOT420#3420,380,21,8,4,0.44,0
CHIDORI 千鳥#senya,160,10,11,14,0.10,0
MiPro#123,289,17,13,4,0.35,0
NotJoonr#inoob,320,18,9,3,0.23,0
xXpronehubXx#noob,356,18,13,3,0.08,0
Unga Bunga,ACS,K,D,A,HS%,
Blank#Sora7,214,14,17,2,0.28,0
ChoccyMilk#2305,120,8,19,1,0.11,0
DR4GON1TE#NATSU,140,9,16,8,0.18,0
GiantPetuk#1234,254,15,16,3,0.19,0
spyC#999,189,8,16,0,0.15,0
,,,,,,
,,,,,,
PQ3,,,,,,
God Of Whiffs,ACS,K,D,A,HS%,
Alucard#kappa,267,19,15,5,0.26,0
ItznotHawk#6912,210,17,13,3,0.28,0
PortgazDAdzz#AD969,213,16,16,12,0.16,0
putuputu37#1337,163,10,14,4,0.21,0
ssdian#Hmmm,176,14,16,4,0.18,0
Farmers United,ACS,K,D,A,HS%,
Bonruti#Yummy,176,12,17,7,0.27,0
CONFUSED#2095,285,21,15,9,0.17,0
GH05TR3C0NTTA#taki,196,15,16,5,0.20,0
Jinx ツ#1305,231,19,14,5,0.13,0
Marco Phoniex#6598,83,7,14,3,0.20,0
,,,,,,
,,,,,,
PQ4,,,,,,
Team Solid,ACS,K,D,A,HS%,
AhnafUwU#007,167.25,8,13,1,0.11,0
GacherDaleCrow2#2291,105.00,2,15,3,0.20,0
Mo Sami#LFC,113.00,5,15,1,0.13,0
potetu#69420,181.75,13,14,0,0.22,0
Shrike556#8276,134.25,7,16,4,0.10,0
BDSM gSports,ACS,K,D,A,HS%,
BDSM jinn#BDSM,216.50,11,8,5,0.23,0
BDSM Migrant56#itsok,285.50,22,7,4,0.12,0
DFF#glhf,285.25,16,5,10,0.11,0
Faiyaz#1717,278.75,16,8,5,0.22,0
megobrrr#nobfk,185.50,8,7,4,0.19,0
,,,,,,
,,,,,,
PQ5,,,,,,
Team Rush B,ACS,K,D,A,HS%,
